Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1.0,0.5499252870282731,3,-0.23745554882142522,-0.33324416276536445,1,3,3,0,4,0,5,2,2,0,5,0.625,0.420887276662131,-0.7880514215093862,0.26848165805356766,1,1,12,13,0.8793773705879949,2,4,2,2,4,3,2,0.26182200800085953,6,0.0,-0.8854355920833884,-0.48832082880001726,1,0,1,4,-0.48838473345610384,1.0830867569483633,0.0,0.36166694162423435,0.6324555320336759,0.0,0.6666666666666666,0.7071067811865475,0.625,0.0,2,0.75,6,0.0,2,1,0.3684869436018101,2,0.5714285714285714,0.3735086294016977,5,5,2,0.0,0.8026846447052154,0.0,0.0,0.0,0.0,0.0,-1.599111099180035,0.5,8,4,208500.0
2.0,0.0,3,0.6333208274661174,-0.013188522658861512,1,3,3,0,2,0,24,1,2,0,2,0.5,1.0,-0.05866334075082779,0.7218648385964108,1,1,8,8,0.0,3,4,1,2,4,1,0,0.43801839149688776,6,0.0,-0.43919286953135894,0.5322885053589688,1,0,1,4,0.33613563923222645,0.0,0.0,-0.3204331792483121,0.0,0.0,0.6666666666666666,0.0,0.625,0.0,3,0.5,6,0.6324555320336759,4,1,0.7081179846349176,2,0.5714285714285714,-0.0515407055719861,5,5,2,0.9433708335902375,0.0,0.0,0.0,0.0,0.0,0.0,-0.489110050937792,0.25,8,4,181500.0
3.0,0.5499252870282731,3,-0.06330027356391668,0.4460217435809036,1,0,3,0,4,0,5,2,2,0,5,0.625,0.420887276662131,-0.7091867860611542,0.2936749891968885,1,1,12,13,0.8478432572365536,2,4,2,2,4,2,2,0.09226074634079369,6,0.0,-0.05346705117179745,-0.32743659878480763,1,0,1,4,-0.3470839662381977,1.0906697206581097,0.0,0.46805769176367185,0.6324555320336759,0.0,0.6666666666666666,0.7071067811865475,0.625,0.0,2,0.5,6,0.6324555320336759,4,1,0.41764966049376306,2,0.5714285714285714,0.6633149941564821,5,5,2,0.0,0.7315142413269676,0.0,0.0,0.0,0.0,0.0,0.9908913467185322,0.5,8,4,223500.0
4.0,0.6282127663042045,3,-0.5277143409172728,-0.027103985272187728,1,0,3,0,0,0,6,2,2,0,5,0.625,0.420887276662131,0.8583427878484847,0.7933812260287691,1,1,13,15,0.0,3,4,0,3,1,3,0,-0.1830864577835545,6,0.0,0.17961713533624715,-0.7397024381987823,1,2,1,4,-0.2591349975461603,1.0190493307301363,0.0,0.3715636675898648,0.6324555320336759,0.0,0.3333333333333333,0.0,0.625,0.0,2,0.625,6,0.6324555320336759,2,5,0.47673243736392124,3,0.8571428571428571,0.82753860085086,5,5,2,0.0,0.6969571032947177,0.0,0.0,0.0,0.0,0.0,-1.599111099180035,0.0,8,0,140000.0
5.0,0.5499252870282731,3,0.8655278611427955,1.2837325929031418,1,0,3,0,2,0,15,2,2,0,5,0.75,0.420887276662131,-0.6727257687400744,0.3401673801404331,1,1,12,13,0.9755146769630382,2,4,2,2,4,0,2,0.2251878532516237,6,0.0,0.0728297350528838,0.23817202236241367,1,0,1,4,0.11421806690525148,1.2026755886059097,0.0,1.0090247104682446,0.6324555320336759,0.0,0.6666666666666666,0.7071067811865475,0.875,0.0,2,0.875,6,0.6324555320336759,4,1,0.4389667525757357,2,0.8571428571428571,1.7645791802246629,5,5,2,0.8709266860581039,0.8640493893988255,0.0,0.0,0.0,0.0,0.0,2.100892394960775,0.5,8,4,250000.0
6.0,0.45758879492145166,3,0.923579619561965,1.2433777513244957,1,0,3,0,4,0,11,2,2,0,0,0.375,0.420887276662131,-0.4539754647299355,0.44051248379533275,1,1,12,13,0.0,3,4,5,2,4,3,2,0.2799888921766091,6,0.0,-1.2970435131579838,-0.6391497944392763,1,0,1,4,-0.6257362220302041,0.8817440260486756,0.0,-0.15883096688604592,0.6324555320336759,0.0,0.3333333333333333,0.7071067811865475,0.125,0.0,3,0.375,6,0.0,2,1,0.5515485012954586,3,0.5714285714285714,0.04506141601294204,5,5,2,0.6145619250609435,0.6678747387394074,0.0,0.0,0.0,0.0,0.0,1.3608916961326132,0.75,8,4,143000.0
7.0,0.0,3,0.34306203537026986,0.12151315543813625,1,3,3,0,4,0,21,2,2,0,2,0.75,0.420887276662131,-0.8312044493545858,0.2128394422764252,1,1,12,13,0.8707062564571272,2,4,2,0,4,0,2,0.6526094468369065,6,0.0,-0.3469184879723337,1.5981465292097325,1,0,1,4,1.0773023044103027,0.0,0.0,0.33896950892061567,0.6324555320336759,0.0,0.6666666666666666,0.0,0.625,0.0,2,0.625,6,0.6324555320336759,2,1,0.3396310410331076,2,0.5714285714285714,0.7985579643753815,5,5,2,0.9176757213461754,0.789713867102638,0.0,0.0,0.0,0.0,0.0,0.6208909973044512,0.25,8,4,307000.0
8.0,0.5499252870282731,3,-0.005248515144747178,0.2044493126135605,1,0,3,0,0,0,14,4,2,0,5,0.625,0.6668260611188521,0.0,0.758329613265087,1,1,6,6,0.9129321058255386,3,4,1,2,4,2,0,0.36441643747795777,1,0.0,-0.6480626539670851,0.14264701079088296,1,0,1,4,0.039722512281366994,1.162013220783105,0.0,0.872509468348934,0.6324555320336759,0.0,0.6666666666666666,0.7071067811865475,0.625,0.0,3,0.625,6,0.894427190999916,4,1,0.7277278084188872,2,0.5714285714285714,0.06438184032992766,5,5,2,0.904213768304693,1.0,0.0,0.0,0.0,0.0,0.0,1.7308920455466943,0.75,8,4,200000.0
9.0,0.45758879492145166,4,-1.0501801666897983,-0.981704720546366,1,3,3,0,4,0,17,0,2,0,0,0.625,0.420887276662131,0.6566785347777812,1.0,1,1,3,15,0.0,3,4,0,3,4,3,6,-0.7337808660322511,6,0.0,0.9177194493203769,-0.24699448377720284,1,2,1,1,-0.13168631169926093,1.0163498575623617,0.0,0.4514117950837977,0.0,0.0,0.6666666666666666,0.0,0.375,0.0,3,0.75,2,0.894427190999916,4,5,0.9067894077201738,3,0.5714285714285714,-0.012899856938014844,1,5,2,0.746505642602139,0.0,0.0,0.0,0.0,0.0,0.0,-0.859110400351873,0.5,8,0,129900.0
10.0,1.0,3,-1.1082319251089678,-0.6199026925998845,1,3,3,0,0,0,3,0,0,1,1,0.375,0.6668260611188521,0.548252405608417,1.0,1,1,8,8,0.0,3,4,0,3,4,3,2,0.3592906344504933,6,0.0,-0.9256800574671508,-0.1489556561116845,1,0,1,4,-0.019997608475897922,0.0,0.0,-0.6372785419963052,0.6324555320336759,0.0,0.3333333333333333,0.0,0.375,0.0,3,0.375,6,0.894427190999916,4,1,0.8813127588558042,2,0.2857142857142857,-1.28321775577982,2,5,2,0.0,0.313018908131133,0.0,0.0,0.0,0.0,0.0,-1.9691114485941161,0.5,8,4,118000.0
